EVENT MISSION ID,Launch Location,UTC LAUNCH DATE,UTC TIME START,UTC TIME END,Trace available? 
Falcon 9 Block 5 | Starlink Group 10-9,"Kennedy Space Center, FL, USA","July 27, 2024",5:45:00 UTC,5:53:50 UTC,SpaceX Starlink Group 10-9 - YouTube
Falcon 9 Block 5 | Starlink Group 10-4,"Cape Canaveral SFS, FL, USA","July 28, 2024",5:09:00 UTC,5:17:50 UTC,SpaceX Starlink Group 10-4 - YouTube
Falcon 9 Block 5 | Starlink Group 9-4,"Vandenberg SFB, CA, USA","July 28, 2024",9:22:00 UTC,9:30:50 UTC,SpaceX Starlink Group 9-4 - YouTube
Atlas V 551 | USSF-51," Cape Canaveral SFS, FL, USA","July 30, 2024",10:45 UTC,N/A,No trace just video: July 30 LIVE Broadcast: Atlas V USSF-51 - YouTube
Long March 3B/E | WHG-02,"Xichang Satellite Launch Center, People's Republic of China","August 01, 2024",1:14 UTC,N/A,No trace just video: Long March-3B launches WHG-02 - YouTube
Falcon 9 Block 5 | Starlink Group 10-6,"Kennedy Space Center, FL, USA","August 02, 2024",5:01:00 UTC,5:09:50 UTC,SpaceX Starlink Group 10-6 - YouTube
"Electron | Owl for One, One for Owl (StriX Launch 5)","Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand","August 02, 2024",4:39 UTC,5:39 UTC,"Rocket Lab - 'Owl For One, One For Owl' Launch - YouTube"
Falcon 9 Block 5 | Starlink Group 11-1,"Vandenberg SFB, CA, USA","August 04, 2024",7:24:00 UTC,7:32:50 UTC,SpaceX Starlink Group 11-1 - YouTube
Falcon 9 Block 5 | Cygnus CRS-2 NG-21 (S.S. Francis R. “Dick” Scobee),,"August 04, 2024",3:02:53 UTC,3:20:53 UTC,NASA’s Northrop Grumman 21st Cargo Resupply Services Launch - YouTube
Long March 6A | G60 Polar Group 01,"Taiyuan Satellite Launch Center, People's Republic of China","August 6, 2024",6:42 UTC,N/A,No trace just video: Long March-6A launches SpaceSail Polar Orbit 01 - YouTube
Falcon 9 Block 5 | Starlink Group 8-3,"Cape Canaveral SFS, FL, USA","August 10, 2024",12:50:00 UTC,12:59:00 UTC,SpaceX Starlink Group 8-3 - YouTube
Electron | A Sky Full of SARs (Capella Acadia 3),"Rocket Lab Launch Complex 1, Mahia Peninsula, New Zealand","August 11, 2024",1:18 UTC,2:18 UTC,Rocket Lab - 'A Sky Full of SARs' Launch - YouTube
Falcon 9 Block 5 | Arctic Satellite Broadband Mission (ASBM),"Vandenberg SFB, CA, USA","August 12, 2024",2:02 UTC,2:50 UTC,SpaceX Arctic Satellite Broadband Mission (ASBM) - YouTube
Falcon 9 Block 5 | Starlink Group 10-7,"Kennedy Space Center, FL, USA","August 12, 2024",10:37:00 UTC,10:46:00 UTC,SpaceX Starlink Group 10-7 - YouTube
